match_id,kills_diff,deaths_diff,assists_diff,gold_diff,damage_diff,damage_taken_diff,cs_diff,vision_diff,mean_kda_diff,team_kda_diff,win_blue
RU_535208794,1,-1,24,4493,-401,14947,-16,-2,0.6853968253968254,0.6263213530655392,1
RU_535213154,14,-14,34,5705,18274,-15742,40,21,3.2583333333333337,2.859649122807017,1
RU_535213755,-8,8,-17,-8345,-24845,-4984,-26,-13,-2.018333333333333,-1.861598440545809,0
RU_535214709,-9,9,-33,-3792,-41778,40555,-11,-15,-2.478333333333333,-2.284090909090909,0
RU_535215051,14,-14,57,7486,30692,-42721,-26,5,4.599278499278499,3.09943865276664,1
RU_535216330,-16,16,-19,-10481,-11448,-11397,-15,-9,-2.5133333333333328,-2.7580437580437582,0
RU_535217766,-15,15,-13,-10293,-12574,3760,-90,-35,-1.730966810966811,-1.5784313725490196,0
RU_535219867,0,0,0,-29,102,-50,1,0,0.0,0.0,0
RU_535220664,-14,14,0,-12217,-7078,5795,-92,-25,-2.804761904761905,-3.003636363636363,0
RU_535220675,-16,15,-37,-17504,-23049,6978,-136,1,-4.672142857142857,-4.461693548387097,0
RU_535221746,-18,18,-39,-10584,-29776,20957,40,-7,-7.046825396825397,-3.7937411095305835,0
RU_535222696,-7,7,2,-10618,-3554,-8058,-48,-3,-2.0560317460317457,-0.9370370370370369,0
RU_535222942,-17,17,-33,-13666,-21476,19471,-46,-30,-10.066666666666666,-8.660714285714286,0
RU_535223241,1,-1,-4,-54,-7673,3723,-61,-7,-0.6245021645021644,-0.008064516129032473,1
RU_535223420,14,-14,34,4592,29784,-32296,-69,-8,4.468333333333333,4.769230769230769,1
RU_535225690,-1,1,23,-3413,20777,-21998,-2,19,0.3315934065934063,0.5020242914979756,1
RU_535226616,-16,16,-35,-11665,-24445,20868,0,-40,-10.484285714285715,-11.571428571428571,0
RU_535227187,-9,9,-22,-7400,-33463,17292,-12,-11,-4.918571428571429,-2.294827586206897,0
RU_535228905,2,-2,9,7902,8873,4770,-28,-1,1.1349999999999998,0.5881481481481481,1
