gameName,tagLine,puuid,summonerLevel
машинка,qbee,HutOBLANzqnR5KSzVAHzntMArlQGvUkI5rZDb0NpDdPj_Zf10cjhQmVMyPcX0kC1qVs6nG9Ll_f2lQ,909
Márch,RU1,sgjLooX92cCNHbrJuWN7MgoPnqJKR4TO_sszdh8TkIHLz7KSHfPLK8TkG4XsE88kcOSeVvWZb353Iw,276
xvxuauaie,3003,8LNfz5-eFDbNIZ-VYE9bB2QovrjFtqHoSRL1IYuuDfXNK4ia5EbhxH1lUZDsaPnN3LAI10tsV3F0uA,979
Arwen Undómiel,RU1,WSlAecYzvU27lUCipmSPUZkTkXX-PkwAYQy3mo5mROHcVeNqYqPFhWFySqOrbIHTOLR78Z7C6PLmoA,309
TRAXATb KITTY,777,-1w-aNqRKHmT2sUMINZO6qYYJ0tJssJN-M0XUjZEXH7DED8e9_WwqpwLY1dbTOZAiikvabb_c_xoCA,696
eternal drama,666,LPb3cGBkOxpiBP70KFaXuc6phwBxhqo0rhqPd9RuVrDfb5_QFIbUBDDsoIz1AogrLx03bDroPlGxYg,998
я тренируюсь,6724,bSoeYT-DiKFkJ1NYSaCDXCVbILWxMK96ZxqS2KI9AVKHn462BDV_mZXmyt9q5lCxVwE0pnY82-Y6GQ,745
Bunk0po0bashke,RU1,9F7AKmXTRf-rO_Rafkezq9v4Qx7duN6QIkJvq-M-VSZ21UuoxO5WopQQbTHYDqjvhogaOAjXB0EXpQ,457
2pizza ПесДаЛис,RU1,v_HemMWIkovT-o6YiJofELmYouosUUBf4huNcRRXCKgdJ1LVXfybtVFvzSrlsx55RpfIhnmWSG4-Nw,272
kaiyava,fate,YwPHEf7MB63Lt2NGrwbwQQjHfx6Xb_Fd0ichW3w-CILXkiqKE43yV2Ujckj6UVYI5UIEY5bkS6yD7A,289
pisun yasuo,CHLEN,WiP3zjy7DtCkHt_ZLg-AykWKgwlmqVy5VkDKzwLASJaFBEjjJxtbT814VYdBRM2nQw3NrjrlgOYYnA,74
Ghoul,RU1,0ETF3qM0QcxM5fwvrEbqC7tM--z4M3esNd9xOBJwwZ9a9CrZrs9MRk4SqxS34SnqAxoxhPob776alw,136
Agni Kai,forge,Dy-eP4E8jlAb_NPT6K5eIQfJX7XNSAs-OHt4IjQxRJRUZ82AJjwL8-txpqudJBGnqRljmNoa-Eniqw,712
Талант,777,J50cV8aZK15wZkYwkGPQa02WiABkFByQ2STHlUVUgStZwsPm2jpoJ4EvjYwjh6LlNDJdcmyxki1F_A,650
LokBast,RU1,F-Ih2Z09JWo817vAPQMqbBuosESBuG3fdIhNZ3E6iuaLCR1XfZT-3a0v-OIb7StiPlRiWp-ZDMsyoQ,161
Bladee saved me,RU1,cFrbWEtOK0bowmy90tbU2W59_qwxWjXAc7Mk8aeY-2D5R5DbohSQZNCD7iujtzvAyLUVxbu9CHlddA,220
Fallen king,RU1,DDgcAdiRLoA1bjFPD1XMBvfIpetkoCjL4iL_p9Fa7AL7nji5sX9-jyEIkTtBmp7W3uZ4wLB1U23zLA,1014
dropbouf,0000,5qK2BS2lRkY6C1VPXNreV4M0YXNLhxXHDufz_y3y8NQtmcrrRDWAXf7qdm8n6gO4vT9gN8AlncEmQA,64
No Fun Allowed,RU1,Rnz8IURSyTu9TX8fTWtv0s3AvudaZa0Hh0nCHQZ2AswDyzsc5JPPlalQcYhpxmT6GhHLc8jxCS6Z3Q,211
Fonce,ZZZ,wEii_HBtFaZmqvAS1mrMXsOr1uSWlDWzhUOQZBtDux4goP1FbGlqAYAf1TJ6PQA2rtunrEaWNQXp9g,955
мактрахep69,жопаа,j8lfmPecwlaOMNvSQJdpLfFXmlvgbKWch83EJVJ9cTxeOyyGNidXLOnHckbahTZ6EH64OJgC-iBb_w,803
Weak Mentality,1705,irHy_6mytni9riFD13dJH9DHz0oTAqzTvUkwdfmIqopBAgBmQ586bi5pL454DRop-Sz0K7fRik1XUw,859
666,rwya,y5ehIVEm5GFGbiD4tY1eR06_vWDP2cF3lsWfBRQQH-cl9zGKxlRPcd57InwY_oI7x-5IAfrqr9BzRg,113
カミーユ,サンライズ,jEVh0UzRPjPOiMbKMQpT1CVwhTV0zudyCeIwqqA8UE5AOK2UmP3uFlH2WJxm9pcqcGDfoU3EFOf_fg,342
Mental Terrørist,ZXC,94iNzHYpsuwphwK9KnKw-yaU2xpwlp71NlL58pzzCQBt-cZxXpCt6ItHNVWkPXxJRqln3SFfocgmYw,1978
Kendrick Lenar,RU1,H7gNkTNOIL2ZKHcDx7kpuMa4lSvRPLQnfE2f1MbBqJwDIYXYL8oK21HfZkUlp-1hI6xlJBlpvVB5SA,589
RUservˇsParamour,yours,J4yq-vSStL4_oDWJ3uQ3CMQ1uTwBgbxYy9a_U7fCI71gAUOKyMCmEtqz6k-CHgX1yHeyg77sY1Pr_A,63
VIENNESE WALTZ,RU1,70RXAUPg0r9drkIdBFWHtEO10gx7eduy-b8xv4742Az3Ea9VYzyQz7G0y3fyvI9XkF3dFBsDugfhzw,340
Khaslana,fate,EyXYCf7h7wqEj26PC9JJtBuLcsHtJZOcD6W0NBs3ABcR0nPO2cFb98HtNdmDDqODm_p_wbcswCdEuw,429
Ungoliant,kisa,TciwcfEAqWxYUprk0zziMC3Q5UGVpJ8TB9IWEv_trqh44D_8YeH1iQrszEpUUz9oV6HcrVbpXZkzlA,43
BABY S T A R,RU1,S_eN9F6ra0IHtR_9DCpZpo66mAy8YNu1HUby9vqtg4TjDFuQ9IJqFkTK_XqssDTvppGbvXWNNd9oOA,309
SchrodyCat,meow,5NOrK9ru_zqb6Bb4YKbCe41T_EVyckxGIqso5KvqIcvkAVNpvgLLXBpOQg53vZfc9DLxH2OgAX_YVw,660
fw1qiogasfa,sssss,MacJ7uzw1wmHGxAL02TbXYbyLNJ2cXVg9ikB8_p5ApH90mR33_UrE2EbG1CwVwHdD2dlLG9LH0_k5Q,142
a wind rhythm,lost,tnNrKsAkRAHaC4hL_RSFHoaWDmPHg-wdhRlLQp8cq18fOQc50DWJ8jCviVbN7ApqU-JWyXnh_5w8QA,146
MrTеa,Tea,fQFeQT8TJtEo8LZwr2KnNk9Ae2Nf4m0_MTqUjU7uavbvhcimP1-7LN0s-hD1ZG1BgkkP0sQeTTowUw,895
Fiskar,ισημε,r11dWHLD1nfsEwxC50E8b_bYPppzyHjfsp2I42sX16b00pIEHIsga620hzA5YwJ_fVY7nlmbadtKGQ,608
mercy me pls,RU1,lurxrrCPd4laINg33yN4KiQ3PwALtqlNo6tVwTD1g7fsZgjuuZX3YJii122fW_1-mHQ9ts1x-33v_g,164
Azakana,妖怪ヨネ,JHv7ze9GGPNn4wMXmCoFQsGgoF8n8elWEHoJhB4LcT77kbzs0GOPnDzwFqIertWTDHbePR2uKmee-w,1303
Blake Rose,Roses,iH2jBetzujQNSrVtVc6wU7Gf_UDxH15x8F_H4Dw5Aj-Qle4UbubO92TNIn3402Oa-c4HX9KoZ_4jWw,1018
мятная sоsаlо4ка,2013,MX9OunB3pXZKqs7SVMvik06MTruergXABrD5tZH_9kv0RraAUh3OmGPYjBH7k2Ggo19F2md4Tg9v5Q,95
NEFELIBATA,SOON,QznCxQ0h-7BGMldPrYKcyOfTKgJPOzieh09yAujz5cyMlRDMYwcGgj1EklQLy3kqZQ9cuTvaXhfpMA,711
люблю Марину,KITTY,9RDm-QCV_RulnROHPpaVhkVlVs0M2qxUwppIC70dyEkVSkcRo3SVK7ig2h7viUgmrAOPAvea9YUScQ,351
Frozen,GOGO,vfM-6JlZSqR-DK6xpWP2IBfJAcYO2GzrjfBF8nmP0rnq2Y0EsNMzzuamy8Qn5Ol8lgjKovx1ocPm8g,587
マシュマロ,00000,SbKVDdYBHV3Ne4-mrNXt6dDa9f94N1AHeXhn_mHyuA_o3g_6U9S6ZcWIhfDSNw4bGWTWwG1WmWdvCA,540
L9 Dr Livesey,1337,WCt7lM64a5RrO2aYLQiuNGG8-Loh3A_UqaSVpY9ekbH4EOmviM0LB-Gib5CA9cD2zXbJKunQ_RHrxg,216
avilkunisachamp,9115,bFkQP35QQhVTug63ZnABnRhyyYIuD5whOectNZzwkHZtqAB4ey3KAFF_HJLR-F7CBat7Cu_mLzFbng,498
Бардилочка,мур,xR_PPuKwwmv2QiJXofKte-8ybmCVbv6h-tSXkn-eppZ9SVV3f7dqrs6VzpglRM_7xHrLWukP-RG1Fw,112
Девка без руки,jggap,rzuIFSJMIBXVTpD7njd_0GdxO874U818UCkvOTcrkNaGNfG-oRPlZge-ExWtJ---7wzVBC7EjyICpw,912
Lost in yóu,RU1,Q2puN0xN41RwkcZ1a7NSMgc7Y-TBkZBSuxoq8W07WJ1k2tFu4AHRTXUq9mdBsCr3n_ZxghmKnU3Nyw,105
śaekkòretsù,枝狭技,CIAt4g5oyQ6pDHZKSvU0w9qpLgrQypSRDjA8XIhSn1zSEbiIDArnAP7N1jnv9pjTT8z7YJM703xg-w,1150
амеленок,емеля,eAkdhVK_etlY6DkhUtPMm2uAsE-zQXKa_4KHeoyAr0YPiONqsmQdnCTRYrz2IL8bB_KGUVrWdGarJA,755
CocoonLicker,Frank,4fZx2JXKwjA_u6dw4A7_cSoVq_Kz8URGWQ6I8rUyU_Ulyg7tHIN-iOUfy2YLy32PMIcxMYKshhNkgQ,545
M O S E Y,RU1,XaltO2R0h0mrv3LgS_U9jzBo0uSZohEH8AXANkiTfltubJ8_TKfdzoepgrKFJZZlIPv51rLzu5DMkw,626
лабуба,няша,dMBZi_aVTK6Vcx_TkZFH84qhop6v5dMJt3IWnSypCekXrs54-KEfcCzHQqNQVX8Mxxfthp_Sbseh6Q,81
тeрпила,RU1,5LZGj9zRTCUKxmrLLgUV9oseiWSLAje9CY2-Qt8bIqTi8c6rsAuQRU2Ng554U9lWiI07TFg4xJ5Sqg,540
Shy Fawn,Eeeep,UkywoHjiszos8Je96YtF_gio9ZaQc3CJSg2QLhgKFIAR5rc0PUJE5T-SOVBeOTFsnDy0ocRuTQIrrw,733
Mr WaiTer,RU1,3j0mSPDm3tve9RX5Et4Boh_cW2MFTsyfegY85m8DHxj0Pp1rIpx2JgkkGX-dHM3DFcVW_mv9IrLplg,884
Pizdec,huevo,wjYikalIpEO6mtot4R7b3go7wAoRLrhPuYGjG1CvIX5MRjUeMJ90EV_2oLu-hk2OoOe0LL99xEQXRA,644
СестричкаХаттона,ббака,ObktrAP12xDkLGizFXXFX8C_e-_IsdB9ziFRkO-O3kmdZpCYxVa_Et2QTbWDeULFhbHuZh_GVDZ8-w,1154
Психбольной,3330,3ZkxRRrb_Y5Rc50CLSH0aDDYAJ1W-EbIgP-OfJCIHI2hsAmb2bmcxTFK1ZATb8x6_fsfx7fARpMguA,386
игра для бомжей,sosi,us72TNEyj-Yf02NPsozqRG5GIm_-wEu8-n6e5U4_fJ9jVluBXgzJOiwLVdF2jmJvozTzxRnyD9qUmg,386
pixel affection,RU1,mlbyzF88a5n_iXrcF32bmsj2v4u_ozY2IVCQXdUZ0N57--O-10xSppFEMFexBrqZu0I18YoBI8MjQg,144
Eternal flame,TRY,GDEd9z6r-oKD3X8dbfZ_ScjyYLi7fohlWH7M3_L6ZmYX_X0SaNam0G5hsCi57ZH3emfwmD3iETruDw,272
Ha Yuri Zahard,RU1,Y-pX41tDxAbBAuSqFDzSO3c81xHTHf2MHjRVWlEvK2ZvR5kWlF3cDQbigFscezORsTbYNuHTn2Cbxw,614
DeddyВалера,bambi,7DImseU_O710k-ZGyc4xe2UQF29xiVVnfXK_bw4m_i21ZuL-FvxwA5NWgjNW4x_Cv2tuGobBK4Zgnw,702
UBU,ULTRA,OJxzSQHVBy9MFGrSyoATlENZg_4LZV0IfpFSwnvowIl049pu_-TXQC7kn7b3fTGBoC-4RFdNOFto7Q,562
FaceLess,404,Ov4trW612cXlehBudWieMacyMVQA4cZo7gqoQxavVb0AiH_RVmWkfss5AwWvZG0NpU0orjN93oQrkQ,57
LEAGUE GOVNA,RU1,iM8A-uAiNdyzamQWZLXpquPbFFk_L4uWiY2ZAglYaTCG1VXaf9q_h-QrIhQjb0aLh5yFNPkrW4obJQ,94
paranoidkid,0001,kmZX7D3Wlr8X5B0A6_qPWzP-Zq-AePuNTbQCLS_6gAefPrmsHJUg8nMGdK7oRM8c3qasBaJ6K4Kgow,358
AiratR,SKIBD,xoY2J1b-MdAAUUwLNltzEc-qUzhJOErJ7XY5pC46mCdO_NRTI5lVhf0EKxOPRFhMRk-oHEobWMV0eg,738
БДСМ няшка,qsqs,7dsiAL9SvDnE4eXr3HI_zjILXqiA97wwOMHLOoFnCeaZcZJTYugtTxVO-_Xd2Ul7JdvxA8iGYQxCNA,939
StalloneItaliano,1998,kudVdE_5__urFo0kUm9Q77NeMpLOfqMkS56BlEwv3eesqfvP93w_m6GjM3CRc1DUgZpoPPg0igniPA,226
лесной поросёнок,RU1,9UdXJ3mwfc4QrzgeGXNPovQ-z_0It3fQuL9w4wiNJokxqj59iugyQIL6fxGbVEQGHPdn90PosXdgLQ,642
hopeless kid,llll,dpokUIBdtJrPZzmcDHTpz990vVGUWhdgouinCqcFswTmdkO5g_FDwJHNP7r0oXblgpaIC8Vt6liUIg,734
липтося,чай,fohbPzKzM5arzyfw7IuDi0ja0p2VAChJEnBfJ6WtfwN3Gsl-07IvSf2JvX_yQ2tsZT4Xv0vwCaEsxQ,73
eshkere,skrsk,Kq1OJZg342M5zFC9dXduAGoxdYHrpbcr_J6Oqn0SibNG289PyyuNrZ3t-A4WQA3BgLrXY72paLpzRw,141
Droll Loony,RU1,ywixywYdv4wBcmu6JTyRJZ9E-3BjTe4vTvIfyRJyYQ273kaNE2pd67Tf6-g6G9MJBwbn4fJ9c5hubw,217
Mental Athlete,6666,ulIx3rH5DgO7zzqELxG60osF5KtCabb0-CdKl8EDejzbu2y-MkTwm0QIN6vMBpl0OaPWSSrUf20nhQ,137
twtv satanishka6,TOP1,XrLmQ-geX8hPNsMyG1yC7sVRI3gcCK6NO7BaXyj22mdblZEgpNgBQ09cPBK7Frb_fe8pG73Y0qZA2Q,96
