match_id,game_mode,queue_id,map_id,duration,start_time,end_time,winner_team
RU_536581856,CLASSIC,420,11,1797,1758445455429,1758447252560,blue
RU_536338986,CLASSIC,420,11,1926,1758185636662,1758187563252,blue
RU_536129266,CLASSIC,420,11,859,1757936630908,1757937490189,blue
RU_536126272,CLASSIC,420,11,2039,1757932450214,1757934489678,red
RU_536107302,CLASSIC,420,11,1653,1757886639629,1757888292546,blue
RU_536097414,CLASSIC,420,11,1919,1757879592359,1757881511549,blue
RU_535825845,CLASSIC,420,11,1165,1757609181279,1757610346629,red
RU_535817376,CLASSIC,420,11,1930,1757602394322,1757604324450,red
RU_535813595,CLASSIC,420,11,122,1757600267733,1757600384592,red
RU_535812438,CLASSIC,420,11,1346,1757596803357,1757598149643,blue
RU_535805020,CLASSIC,420,11,1985,1757590695428,1757592680596,red
RU_535799917,CLASSIC,420,11,912,1757586260675,1757587173019,red
RU_535718614,CLASSIC,420,11,1677,1757488212469,1757489889611,blue
RU_535430056,CLASSIC,420,11,1631,1757166765366,1757168397071,red
RU_535064541,CLASSIC,420,11,108,1756757230798,1756757339331,red
RU_535059364,CLASSIC,420,11,1433,1756753231340,1756754664224,red
RU_534959444,CLASSIC,420,11,2062,1756659250205,1756661312174,blue
RU_534945415,CLASSIC,420,11,2098,1756652486969,1756654584946,blue
RU_534938915,CLASSIC,420,11,2155,1756649465271,1756651620460,red
RU_534935619,CLASSIC,420,11,1803,1756646523721,1756648327268,blue
RU_534932416,CLASSIC,420,11,598,1756644852786,1756645451129,blue
RU_534917480,CLASSIC,420,11,1208,1756635994446,1756637202501,red
RU_537127683,CLASSIC,420,11,1757,1758835051152,1758836808531,red
RU_537079118,CLASSIC,420,11,1215,1758823266232,1758824481722,red
RU_536996515,CLASSIC,420,11,1685,1758803655104,1758805339844,red
RU_536788504,CLASSIC,440,11,1467,1758662599775,1758664067052,red
RU_536786541,CLASSIC,440,11,929,1758660841898,1758661770517,red
RU_536781531,CLASSIC,440,11,1301,1758656979834,1758658281185,red
RU_536746645,CLASSIC,420,11,1452,1758633321781,1758634773577,red
RU_536736429,CLASSIC,420,11,935,1758621889021,1758622823761,red
RU_536733217,CLASSIC,420,11,2207,1758615179369,1758617386403,blue
RU_536701794,CLASSIC,420,11,2051,1758565695897,1758567746598,blue
RU_536662217,CLASSIC,420,11,1708,1758530361215,1758532069587,red
RU_536528191,CLASSIC,420,11,1774,1758383426935,1758385201047,blue
RU_536482326,CLASSIC,440,11,1730,1758325216860,1758326946716,red
RU_536479899,CLASSIC,440,11,1494,1758322512073,1758324001704,red
RU_536478387,CLASSIC,440,11,1790,1758319901352,1758321691152,red
RU_536474487,CLASSIC,440,11,1638,1758316678679,1758318311939,red
RU_536471150,CLASSIC,440,11,2020,1758314216520,1758316236885,blue
RU_536466530,CLASSIC,440,11,1640,1758311515679,1758313155850,red
RU_536390118,CLASSIC,440,11,1481,1758224400859,1758225881747,red
RU_536178821,CLASSIC,440,11,1718,1757975772085,1757977490027,blue
RU_536177542,CLASSIC,440,11,1574,1757973626562,1757975200422,red
RU_536177146,CLASSIC,440,11,1535,1757971773901,1757973309296,blue
RU_536175515,CLASSIC,440,11,1774,1757969669387,1757971443305,red
RU_536171057,CLASSIC,420,11,2017,1757965423764,1757967440951,red
RU_536165069,CLASSIC,420,11,1764,1757962667059,1757964431660,blue
RU_536159675,CLASSIC,420,11,1970,1757959859362,1757961829046,red
RU_536157313,CLASSIC,420,11,502,1757958743258,1757959244917,blue
RU_537770232,CLASSIC,420,11,1649,1759109763736,1759111412695,red
RU_537766147,CLASSIC,420,11,2773,1759103329764,1759106103007,blue
